epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.182,1.41541,1.40697,1.27545,0.5316,0.16077,0.14024,0.05598,2.36033,1.97266,1.80737,0.000415441,0.000415441,0.000415441
2,469.952,1.30487,1.00198,1.2156,0.44299,0.13056,0.10657,0.04233,2.46501,2.22864,1.91371,0.000821811,0.000821811,0.000821811
3,700.62,1.243,0.90889,1.18589,0.43777,0.12447,0.10755,0.04214,2.4257,2.05585,1.86628,0.00121787,0.00121787,0.00121787
4,928.96,1.18073,0.83974,1.14553,0.4496,0.11661,0.10107,0.04022,2.49791,2.43262,1.90049,0.00120359,0.00120359,0.00120359
5,1160.24,1.12305,0.77181,1.1153,0.18407,0.12087,0.10499,0.04144,2.49208,2.17404,1.90848,0.00118812,0.00118812,0.00118812
6,1386.29,1.06519,0.70558,1.07717,0.43418,0.10776,0.09404,0.03744,2.54501,2.43969,1.92043,0.00117266,0.00117266,0.00117266
7,1611.95,1.00663,0.65566,1.04948,0.19167,0.09846,0.09346,0.03568,2.61479,2.47364,1.99199,0.00115719,0.00115719,0.00115719
8,1836.64,0.94985,0.6045,1.01988,0.18083,0.10607,0.09414,0.03522,2.69415,2.54854,2.04055,0.00114172,0.00114172,0.00114172
9,2061.41,0.90376,0.57129,0.99641,0.17885,0.10546,0.09098,0.03459,2.68138,2.66207,2.05385,0.00112625,0.00112625,0.00112625
10,2286.13,0.85787,0.52898,0.97346,0.23055,0.10218,0.09313,0.03604,2.66966,2.46966,2.03305,0.00111078,0.00111078,0.00111078
11,2509.43,0.82548,0.5029,0.95714,0.18566,0.08321,0.07547,0.02809,2.76127,3.11763,2.13501,0.00109531,0.00109531,0.00109531
12,2733.22,0.78487,0.47642,0.93707,0.18051,0.09047,0.0804,0.02949,2.81818,2.85216,2.16218,0.00107984,0.00107984,0.00107984
13,2956.86,0.74528,0.45019,0.92241,0.18803,0.08189,0.07757,0.02933,2.77545,2.84056,2.17792,0.00106437,0.00106437,0.00106437
14,3180.07,0.7094,0.42535,0.90596,0.17297,0.07965,0.07106,0.0254,2.86057,3.03829,2.26375,0.00104891,0.00104891,0.00104891
15,3402.9,0.67864,0.40545,0.89273,0.17198,0.0879,0.07511,0.02871,2.80365,3.07469,2.2244,0.00103344,0.00103344,0.00103344
16,3625.15,0.63734,0.38297,0.87722,0.21242,0.075,0.07085,0.02723,2.83294,3.14857,2.25029,0.00101797,0.00101797,0.00101797
17,3847.75,0.61091,0.36267,0.86712,0.18166,0.0803,0.07162,0.02739,2.78939,3.19026,2.23563,0.0010025,0.0010025,0.0010025
18,4069.82,0.58232,0.34906,0.85756,0.17239,0.07718,0.06735,0.02475,2.85447,3.3031,2.26971,0.000987031,0.000987031,0.000987031
19,4292.12,0.55226,0.33255,0.84615,0.16629,0.07558,0.06687,0.02491,2.86156,3.28601,2.31237,0.000971562,0.000971562,0.000971562
20,4513.95,0.5303,0.3208,0.84069,0.22623,0.07472,0.06942,0.02557,2.81915,3.29505,2.28884,0.000956094,0.000956094,0.000956094
21,4735.64,0.50928,0.30987,0.83428,0.19335,0.07343,0.06514,0.02393,2.83968,3.39943,2.33667,0.000940625,0.000940625,0.000940625
22,4957.31,0.48575,0.29816,0.82646,0.21713,0.06788,0.06411,0.02468,2.83186,3.48974,2.31247,0.000925156,0.000925156,0.000925156
23,5178.34,0.46506,0.28615,0.82121,0.16944,0.05921,0.05405,0.02007,2.91256,3.66945,2.3336,0.000909688,0.000909688,0.000909688
24,5399.96,0.44849,0.27785,0.81627,0.22529,0.0673,0.06253,0.02319,2.86761,3.53735,2.37806,0.000894219,0.000894219,0.000894219
25,5621.11,0.42491,0.26536,0.81085,0.1901,0.07316,0.06201,0.02354,2.82313,3.54836,2.32677,0.00087875,0.00087875,0.00087875
26,5842.35,0.40962,0.25547,0.80609,0.0988,0.10431,0.05895,0.02185,2.82978,3.59259,2.35478,0.000863281,0.000863281,0.000863281
