epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4058.91,1.61714,1.15492,1.30084,0.48599,0.35359,0.35846,0.17602,1.77686,1.19409,1.35847,0.00999911,0.00333304,0.00999911,0.00333304,0.00999911,0.00333304,0.00999911,0.00333304
2,7883.84,1.55394,1.04795,1.26723,0.52939,0.36993,0.38304,0.18881,1.74227,1.13816,1.35318,0.0190092,0.00633639,0.0190092,0.00633639,0.0190092,0.00633639,0.0190092,0.00633639
3,11624.5,1.55213,1.04662,1.27357,0.54023,0.37066,0.38712,0.19309,1.72975,1.13229,1.35138,0.0270292,0.00900973,0.0270292,0.00900973,0.0270292,0.00900973,0.0270292,0.00900973
4,15386.3,1.52205,1.01233,1.2607,0.55276,0.36582,0.38731,0.19475,1.71537,1.13309,1.3463,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,19145.1,1.4633,0.9461,1.22702,0.55669,0.36871,0.39029,0.1961,1.71168,1.12309,1.34363,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,22898.2,1.42639,0.90558,1.20471,0.55772,0.36988,0.39139,0.19591,1.71127,1.11746,1.34338,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,26652.2,1.39652,0.87268,1.18813,0.56003,0.37061,0.39238,0.19653,1.7119,1.1114,1.34481,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,30396.7,1.37228,0.84804,1.17295,0.56235,0.37291,0.39384,0.19672,1.71397,1.10533,1.34634,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,34151.2,1.35241,0.82786,1.16143,0.56202,0.3754,0.39434,0.19675,1.71677,1.09951,1.3481,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,37892.4,1.33284,0.80898,1.15068,0.55858,0.37462,0.39354,0.19608,1.72104,1.09355,1.352,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,41599.7,1.3494,0.80177,1.16503,0.54941,0.37737,0.39168,0.19507,1.72554,1.09176,1.35722,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,45309.8,1.33023,0.78473,1.15303,0.5448,0.37771,0.38932,0.19333,1.73264,1.09075,1.36462,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,49016.2,1.31165,0.76839,1.14204,0.54645,0.37869,0.38843,0.1925,1.73956,1.09037,1.37162,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,52737.5,1.29061,0.74909,1.12927,0.54752,0.37726,0.38718,0.1915,1.74583,1.08968,1.37802,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,56447.1,1.27164,0.73346,1.121,0.55539,0.37772,0.38689,0.1908,1.75233,1.09023,1.38539,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,60151.7,1.25016,0.71421,1.10782,0.56399,0.37459,0.38644,0.18965,1.75928,1.09164,1.39236,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,63854.7,1.22818,0.69619,1.09375,0.56674,0.37274,0.38554,0.18879,1.76694,1.09355,1.39917,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,67559.9,1.20539,0.67919,1.08193,0.57207,0.37058,0.38429,0.18745,1.77478,1.09631,1.406,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,71263.7,1.18237,0.66079,1.06895,0.57644,0.36818,0.38315,0.18636,1.78238,1.09881,1.41239,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,74961.6,1.15798,0.64364,1.0606,0.58489,0.36505,0.38113,0.18503,1.79028,1.10331,1.42044,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
